implementation,width,height,iterations,mean_ms,p50_ms,p95_ms,min_ms,max_ms,max_error,output_count
cpu,1920,1080,30,3.83878,3.45813,5.65682,3.13154,5.90065,0,0
cuda_kernel,1920,1080,30,0.223515,0.210656,0.296672,0.19056,0.411936,0,0
cuda_end_to_end,1920,1080,30,6.02556,5.35942,9.95015,3.67219,10.7483,0,0
cuda_pinned_kernel,1920,1080,30,0.236697,0.228832,0.279104,0.208448,0.295232,0,0
cuda_pinned_end_to_end,1920,1080,30,2.99134,2.96029,3.09026,2.8894,3.44122,0,0
cuda_voxel_gpu,1920,1080,30,0.630891,0.601152,0.769376,0.563488,1.01162,0,7385
cuda_voxel_end_to_end,1920,1080,30,1.47016,1.40651,1.78283,1.33465,2.12907,0,7385
