implementation,width,height,iterations,mean_ms,p50_ms,p95_ms,min_ms,max_ms,max_error,output_count
cpu,1920,1080,30,3.97477,3.60117,6.16603,3.13147,6.74924,0,0
cuda_kernel,1920,1080,30,0.226282,0.204736,0.277312,0.169152,0.608896,0,0
cuda_end_to_end,1920,1080,30,4.75598,4.43503,7.39762,3.55205,9.02829,0,0
cuda_pinned_kernel,1920,1080,30,0.237811,0.22624,0.3008,0.208544,0.328896,0,0
cuda_pinned_end_to_end,1920,1080,30,3.18211,3.11647,3.89252,2.95329,4.07131,0,0
cuda_voxel_gpu,1920,1080,30,0.601772,0.597408,0.646816,0.586112,0.6536,0,7385
cuda_voxel_end_to_end,1920,1080,30,1.39343,1.37301,1.54377,1.32469,1.55843,0,7385
