implementation,width,height,iterations,mean_ms,p50_ms,p95_ms,min_ms,max_ms,max_error,output_count
cpu,1920,1080,30,4.12111,3.87942,5.3323,3.21199,6.8134,0,0
cuda_kernel,1920,1080,30,0.215469,0.20576,0.281312,0.170848,0.403712,0,0
cuda_end_to_end,1920,1080,30,4.34867,4.07128,7.03421,3.29844,7.14622,0,0
cuda_pinned_kernel,1920,1080,30,0.209393,0.204512,0.255808,0.180448,0.272864,0,0
cuda_pinned_end_to_end,1920,1080,30,3.09832,3.09553,3.26028,2.97447,3.45562,0,0
cuda_voxel_gpu,1920,1080,30,0.595535,0.591104,0.625984,0.568512,0.659744,0,7385
cuda_voxel_end_to_end,1920,1080,30,1.39815,1.38251,1.48332,1.34766,1.55718,0,7385
