implementation,width,height,iterations,mean_ms,p50_ms,p95_ms,min_ms,max_ms,max_error,output_count
cpu,1920,1080,30,4.05516,4.08889,4.92861,3.32093,4.95625,0,0
cuda_kernel,1920,1080,30,0.213081,0.207552,0.263872,0.184704,0.27776,0,0
cuda_end_to_end,1920,1080,30,3.83092,3.67054,4.42073,3.28676,6.69707,0,0
cuda_pinned_kernel,1920,1080,30,0.220816,0.212608,0.268736,0.184352,0.303296,0,0
cuda_pinned_end_to_end,1920,1080,30,3.02236,3.01635,3.11798,2.93745,3.20444,0,0
cuda_voxel_gpu,1920,1080,30,0.596775,0.587808,0.632704,0.573312,0.67376,0,7385
cuda_voxel_end_to_end,1920,1080,30,1.35032,1.34158,1.41037,1.30305,1.42808,0,7385
