implementation,width,height,iterations,mean_ms,p50_ms,p95_ms,min_ms,max_ms,max_error,output_count
cpu,1920,1080,30,3.5114,3.35476,5.22734,3.12488,6.32792,0,0
cuda_kernel,1920,1080,30,0.211379,0.206944,0.239264,0.185792,0.25376,0,0
cuda_end_to_end,1920,1080,30,3.54681,3.52551,4.02224,3.12829,4.15429,0,0
cuda_pinned_kernel,1920,1080,30,0.25397,0.223776,0.308736,0.195904,0.970048,0,0
cuda_pinned_end_to_end,1920,1080,30,3.06367,3.01676,3.22253,2.88493,4.07211,0,0
cuda_voxel_gpu,1920,1080,30,0.589242,0.588992,0.625728,0.546272,0.656768,0,7385
cuda_voxel_end_to_end,1920,1080,30,1.37616,1.36886,1.48849,1.28344,1.50574,0,7385
