implementation,width,height,iterations,mean_ms,p50_ms,p95_ms,min_ms,max_ms,max_error,output_count
cpu,1920,1080,30,3.8927,3.66208,5.02018,3.13471,7.15502,0,0
cuda_kernel,1920,1080,30,0.199971,0.19296,0.2448,0.180864,0.284576,0,0
cuda_end_to_end,1920,1080,30,3.68396,3.4662,4.72324,3.10849,6.14678,0,0
cuda_pinned_kernel,1920,1080,30,0.212306,0.209728,0.250208,0.173824,0.25376,0,0
cuda_pinned_end_to_end,1920,1080,30,3.00637,2.97562,3.15118,2.85998,3.23802,0,0
cuda_voxel_gpu,1920,1080,30,0.560058,0.55168,0.596256,0.541056,0.601568,0,7385
cuda_voxel_end_to_end,1920,1080,30,1.37535,1.3303,1.79225,1.26595,1.98205,0,7385
