implementation,width,height,iterations,mean_ms,p50_ms,p95_ms,min_ms,max_ms,max_error,output_count
cpu,1920,1080,30,4.12825,3.93344,6.75649,3.17296,6.9979,0,0
cuda_kernel,1920,1080,30,0.197502,0.192832,0.226496,0.176544,0.23232,0,0
cuda_end_to_end,1920,1080,30,4.16365,4.04061,5.92993,3.19731,6.75326,0,0
cuda_pinned_kernel,1920,1080,30,0.219125,0.20896,0.26592,0.173312,0.434496,0,0
cuda_pinned_end_to_end,1920,1080,30,2.92854,2.91002,3.11826,2.81141,3.1748,0,0
cuda_voxel_gpu,1920,1080,30,0.566903,0.561728,0.615296,0.538208,0.61888,0,7385
cuda_voxel_end_to_end,1920,1080,30,1.33939,1.32482,1.41144,1.28114,1.45175,0,7385
