implementation,width,height,iterations,mean_ms,p50_ms,p95_ms,min_ms,max_ms,max_error,output_count
cpu,1920,1080,30,4.33706,4.08303,7.06638,3.2575,7.86459,0,0
cuda_kernel,1920,1080,30,0.204002,0.201024,0.235968,0.1704,0.238592,0,0
cuda_end_to_end,1920,1080,30,4.32358,4.26973,5.90852,3.12141,7.78816,0,0
cuda_pinned_kernel,1920,1080,30,0.229046,0.225056,0.254016,0.198528,0.273696,0,0
cuda_pinned_end_to_end,1920,1080,30,3.04174,2.9817,3.34581,2.88082,3.72236,0,0
cuda_voxel_gpu,1920,1080,30,0.650611,0.645152,0.6768,0.630176,0.677408,0,7385
cuda_voxel_end_to_end,1920,1080,30,1.45836,1.44496,1.6041,1.38327,1.62263,0,7385
