implementation,width,height,iterations,mean_ms,p50_ms,p95_ms,min_ms,max_ms,max_error,output_count
cpu,1920,1080,30,3.38123,3.24817,3.96419,3.04864,4.46732,0,0
cuda_kernel,1920,1080,30,0.22015,0.21856,0.242112,0.191296,0.360576,0,0
cuda_end_to_end,1920,1080,30,3.83309,3.64667,4.64592,3.20613,6.68262,0,0
cuda_pinned_kernel,1920,1080,30,0.235914,0.23008,0.3024,0.197536,0.367328,0,0
cuda_pinned_end_to_end,1920,1080,30,3.04617,3.03566,3.19761,2.94841,3.1994,0,0
cuda_voxel_gpu,1920,1080,30,0.669807,0.664832,0.70208,0.612448,0.72048,0,7385
cuda_voxel_end_to_end,1920,1080,30,1.47377,1.46913,1.55524,1.4054,1.57322,0,7385
