implementation,width,height,iterations,mean_ms,p50_ms,p95_ms,min_ms,max_ms,max_error
cpu,1920,1080,100,2.42239,2.3177,3.04421,1.98208,4.59983,0
cuda_kernel,1920,1080,100,0.218957,0.19792,0.363712,0.172576,0.674944,0
cuda_end_to_end,1920,1080,100,4.06555,3.68624,6.6349,3.03313,8.11793,0
cuda_pinned_kernel,1920,1080,100,0.208797,0.200992,0.245088,0.182112,0.276672,0
cuda_pinned_end_to_end,1920,1080,100,2.87116,2.87057,2.97303,2.73612,3.14556,0
