implementation,width,height,iterations,mean_ms,p50_ms,p95_ms,min_ms,max_ms,max_error
cpu,1920,1080,100,2.6378,2.42159,3.67147,1.91126,4.95099,0
cuda_kernel,1920,1080,100,0.214826,0.196,0.26016,0.163424,1.37728,0
cuda_end_to_end,1920,1080,100,4.70614,4.30583,7.48993,3.0821,12.5118,0
cuda_pinned_kernel,1920,1080,100,0.220255,0.2128,0.304288,0.178368,0.401184,0
cuda_pinned_end_to_end,1920,1080,100,2.83754,2.81308,3.07836,2.71774,3.19664,0
