implementation,width,height,iterations,mean_ms,p50_ms,p95_ms,min_ms,max_ms,max_error,output_count
cpu,1920,1080,100,4.21088,4.02928,5.78407,3.08402,6.43926,0,0
cuda_kernel,1920,1080,100,0.205321,0.195776,0.2632,0.166272,0.445088,0,0
cuda_end_to_end,1920,1080,100,3.88151,3.53722,5.81466,2.94847,10.3997,0,0
cuda_pinned_kernel,1920,1080,100,0.203479,0.200992,0.234464,0.16944,0.262272,0,0
cuda_pinned_end_to_end,1920,1080,100,2.79096,2.75725,2.89274,2.66121,5.30346,0,0
cuda_voxel_gpu,1920,1080,100,0.574414,0.56464,0.623008,0.540512,0.69744,0,7385
cuda_voxel_end_to_end,1920,1080,100,1.29626,1.26585,1.42774,1.19856,2.54677,0,7385
